"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_253","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Keissleriella","quadriseptata",0.000148165686587506,3,1250,0.00443786982248521,6
"ASV_254","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","homothallica",4.34409924073004e-05,10,2499.27371773377,0.014792899408284,1
"ASV_259","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae",NA,NA,5.64090489924853e-05,25,603.72082213702,0.0369822485207101,12
"ASV_26","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma","rosarum",6.73437592009598e-05,1,0,0.0014792899408284,1
"ASV_260","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Fomitopsis","pinicola",0.000685882707152037,3,427.882528991194,0.00443786982248521,2
"ASV_264","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","furcatum",1.59636840699848e-05,14,488.982069184724,0.0207100591715976,13
"ASV_268","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae","Neodevriesia","poagena",4.60468757194824e-06,20,911.960152208812,0.029585798816568,3
"ASV_269","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Fomitopsis",NA,1.74965881653078e-05,17,244.151043736628,0.0251479289940828,7
"ASV_27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","dendrobii",0.00634209948644591,1,0,0.0014792899408284,2
"ASV_274","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps","spartinae",0.000291820906676187,1,0,0.0014792899408284,14
"ASV_278","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","pseudovitensis",0.000546119071349878,1,0,0.0014792899408284,26
"ASV_279","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","wieringae",0.000164999300859375,2,273.171785608882,0.0029585798816568,6
"ASV_281","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Phellinus","gilvus",4.07412126374583e-05,1,0,0.0014792899408284,2
"ASV_284","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Stephanosporaceae","Cristinia",NA,0.00048598864491696,4,1875,0.00591715976331361,1
"ASV_286","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","tritici-repentis",0.000297342020891509,45,3800.29842815396,0.0665680473372781,4
"ASV_289","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","bialowiezense",2.21084292398746e-05,6,563.389927168524,0.00887573964497041,9
"ASV_290","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","hordei",0.000414429349149548,1,0,0.0014792899408284,17
"ASV_292","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora",NA,0.000340955251479979,1,0,0.0014792899408284,15
"ASV_294","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps","spartinae",0.000375022662727547,1,0,0.0014792899408284,15
"ASV_297","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,5.8737601258517e-05,23,802.495471955196,0.0340236686390533,6
"ASV_3","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","tassiana",0.1052464976822,2,0,0.0029585798816568,2
"ASV_30","Fungi","Basidiomycota","Exobasidiomycetes","Entylomatales","Entylomatales_fam_Incertae_sedis","Tilletiopsis","washingtonensis",0.00302369854768864,7,5989.93920720443,0.0103550295857988,2
"ASV_300","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","coprosmae",4.82485407742982e-05,3,247.506966983571,0.00443786982248521,14
"ASV_302","Fungi","Ascomycota",NA,NA,NA,NA,NA,0.000453765935348321,19,705.011126996814,0.0281065088757396,5
"ASV_306","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta",NA,8.58398571624777e-06,25,603.72082213702,0.0369822485207101,12
"ASV_307","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta","pisi",0.000152388796562059,1,0,0.0014792899408284,8
"ASV_308","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","carnescens",0.000263536700606719,1,0,0.0014792899408284,27
"ASV_31","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Neoascochyta","triticicola",0.00569964045405722,5,1250,0.00739644970414201,2
"ASV_311","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","victoriae",4.39792234366965e-05,4,970.25871154643,0.00591715976331361,4
"ASV_312","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA,9.28777175186869e-05,3,652.278400867982,0.00443786982248521,13
"ASV_314","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Epicoccum","dendrobii",0.000245300466600312,22,1277.69179974997,0.0325443786982249,5
"ASV_315","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","novem",9.71849926957544e-05,8,706.338202568303,0.0118343195266272,2
"ASV_319","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","proliferata",0.000168393705009492,6,1236.96825324326,0.00887573964497041,2
"ASV_32","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps",NA,0.0132255732172113,2,626,0.0029585798816568,2
"ASV_320","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Tiarosporella","var._karoo",0.000521669991407503,6,1449.97129213614,0.00887573964497041,2
