"from","to","rho","p","q","edge_sign"
"ASV_118","ASV_242",1,0,0,"Positive"
"ASV_150","ASV_247",1,0,0,"Positive"
"ASV_157","ASV_247",1,0,0,"Positive"
"ASV_161","ASV_247",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_211","ASV_247",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_131","ASV_251",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_217","ASV_251",1,0,0,"Positive"
"ASV_44","ASV_252",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_75","ASV_252",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_111","ASV_252",0.673932153356572,0.00011625979537655,0.00699625213424714,"Positive"
"ASV_127","ASV_252",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_145","ASV_252",0.678280102733066,0.000100977333874486,0.00687431802304738,"Positive"
"ASV_222","ASV_252",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_8","ASV_257",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_65","ASV_257",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_75","ASV_257",1,0,0,"Positive"
"ASV_110","ASV_257",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_127","ASV_257",1,0,0,"Positive"
"ASV_137","ASV_257",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_159","ASV_257",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_222","ASV_257",1,0,0,"Positive"
