"from","to","rho","p","q","edge_sign"
"ASV_21","ASV_175",0.675303252441909,0.000293788279681184,0.0400780439368084,"Positive"
"ASV_26","ASV_175",0.678416569775233,0.000268645714331051,0.0370882723269727,"Positive"
"ASV_41","ASV_179",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_36","ASV_186",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_79","ASV_186",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_44","ASV_191",0.677230699706335,0.000277992630703494,0.0383020090241952,"Positive"
"ASV_90","ASV_191",0.738898767912147,3.72492362239463e-05,0.0100480105982096,"Positive"
"ASV_8","ASV_197",0.847483366080674,1.73654903345977e-07,7.04558802851885e-05,"Positive"
"ASV_16","ASV_197",0.736437025897954,4.07789640566314e-05,0.0100480105982096,"Positive"
"ASV_31","ASV_197",0.661775630620452,0.000428294556003239,0.0405018915649716,"Positive"
"ASV_44","ASV_197",0.803126051690141,2.31145031071023e-06,0.000854381898609949,"Positive"
"ASV_121","ASV_197",0.800134790353619,2.6879496370924e-06,0.000988251334323956,"Positive"
"ASV_36","ASV_198",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_79","ASV_198",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_186","ASV_198",1,0,0,"Positive"
"ASV_60","ASV_216",0.651823197855779,0.00055864844843434,0.0490974253744416,"Positive"
"ASV_90","ASV_216",0.732590247514198,4.68848411174783e-05,0.0100480105982096,"Positive"
"ASV_121","ASV_216",0.718624954157768,7.63451289249595e-05,0.0113534984418741,"Positive"
"ASV_135","ASV_216",0.706896551724138,0.000112539294466085,0.0165082364041031,"Positive"
"ASV_142","ASV_216",0.776317380054941,8.22576911296835e-06,0.002759513487494,"Positive"
"ASV_171","ASV_228",-0.796333059381195,3.24460166911678e-06,0.00114529125344929,"Negative"
"ASV_213","ASV_232",0.653164740719602,0.000539290524495861,0.0475211690930559,"Positive"
"ASV_8","ASV_236",0.660201953598867,0.000446956709522439,0.0405018915649716,"Positive"
"ASV_24","ASV_236",0.774766410252788,8.80591950380705e-06,0.00295126669551061,"Positive"
"ASV_37","ASV_236",-0.708260772279961,0.000107674961344451,0.0158283570094007,"Negative"
"ASV_60","ASV_236",0.777985142774009,7.63994780483834e-06,0.00256798304065846,"Positive"
"ASV_73","ASV_236",0.672131801562156,0.000321478605435299,0.0405018915649716,"Positive"
"ASV_90","ASV_236",0.813216918793185,1.36268373918114e-06,0.000508045327256976,"Positive"
"ASV_121","ASV_236",0.695419442214291,0.000161680953474796,0.0230215119818686,"Positive"
"ASV_134","ASV_236",0.798374939020634,2.93408088225533e-06,0.00105491595747205,"Positive"
"ASV_135","ASV_236",0.660813479055068,0.000439622663439332,0.0405018915649716,"Positive"
"ASV_216","ASV_236",0.733369013072939,4.55876241638453e-05,0.0100480105982096,"Positive"
"ASV_20","ASV_241",-0.741512689050488,3.37983876990133e-05,0.0100480105982096,"Negative"
"ASV_8","ASV_245",0.689993151970684,0.000190814493669977,0.0269693608030724,"Positive"
"ASV_38","ASV_245",0.653983261355443,0.000527766771084792,0.0466448712224902,"Positive"
"ASV_53","ASV_245",0.70158029638859,0.000133378627687364,0.0192458662918003,"Positive"
"ASV_121","ASV_245",0.785868343236576,5.34156512843609e-06,0.00180777120512082,"Positive"
"ASV_135","ASV_245",0.666889864793307,0.000372226717507473,0.0405018915649716,"Positive"
"ASV_197","ASV_245",0.651266229452909,0.000566859992408464,0.0497937267656508,"Positive"
"ASV_216","ASV_245",0.74098873865923,3.4466604513339e-05,0.0100480105982096,"Positive"
"ASV_90","ASV_250",-0.653161592505855,0.000539335264031493,0.0475211690930559,"Negative"
"ASV_13","ASV_251",0.747655136588245,2.67738818227059e-05,0.00818561591736478,"Positive"
"ASV_233","ASV_253",0.725849569369452,5.95401715144384e-05,0.0100480105982096,"Positive"
"ASV_88","ASV_254",0.671477358373211,0.000327466498742712,0.0405018915649716,"Positive"
"ASV_153","ASV_259",1,0,0,"Positive"
"ASV_16","ASV_260",-0.72149722712578,6.92226856724432e-05,0.0103165434288795,"Negative"
"ASV_18","ASV_260",0.665796596804851,0.000383644952803408,0.0405018915649716,"Positive"
"ASV_119","ASV_264",1,0,0,"Positive"
"ASV_41","ASV_268",1,0,0,"Positive"
"ASV_88","ASV_268",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_179","ASV_268",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_19","ASV_269",1,0,0,"Positive"
"ASV_175","ASV_279",0.688899298202061,0.000197211866895142,0.0278165523422466,"Positive"
"ASV_102","ASV_281",0.688034587199515,0.000202400628791066,0.0285250890265758,"Positive"
"ASV_96","ASV_284",-0.65327142399502,0.000537776334860407,0.0474080357161642,"Negative"
"ASV_17","ASV_286",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_79","ASV_286",1,0,0,"Positive"
"ASV_89","ASV_286",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_186","ASV_286",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
"ASV_198","ASV_286",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
