"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Category"
"ASV_918",-1.73868874405221,0.558777031899093,0.680120033464311,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__","f__","g__","s__","Other"
"ASV_919",-2.55648798693417,0.383530183177426,0.544942124804386,NA,NA,NA,"k__Fungi","p__Ascomycota","c__","o__","f__","g__","s__","Other"
"ASV_921",2.65615984631796,0.291187852716698,0.459025295602016,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__fusca","Other"
"ASV_922",7.22466399558249,0.0150848255530262,0.0362355068839888,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__phoenicicola","Other"
"ASV_927",-0.0245338044857944,0.993403122004481,0.994473793729895,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__","Other"
"ASV_928",0.183108112068754,0.950758469272482,0.969987292246532,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Bulleribasidium","s__oberjochense","Other"
"ASV_931",2.8228492546129,0.3415771408724,0.511179766049611,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae","Other"
"ASV_933",1.60605245873942,0.588814256424822,0.699794953970861,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__","Other"
"ASV_937",0.703616564012387,0.812839970223467,0.878641301146319,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__albobadia","Other"
"ASV_938",2.00754397224237,0.499413756723308,0.633334764112799,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__capensis","Other"
"ASV_941",2.96085563706965,0.130911639740973,0.245594563811577,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__acanthocystis","Other"
"ASV_945",2.6450059618381,0.372757097200761,0.542409365798544,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__","f__","g__","s__","Other"
"ASV_947",2.75345100687729,0.35426972740403,0.522202780004642,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Bulleribasidium","s__oberjochense","Other"
"ASV_949",10.136869241348,0.000651444315811216,0.00220713223416636,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__cubensis","Other"
"ASV_953",7.96515483644713,0.0074345847890217,0.0193982844495164,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__nunavutica","Other"
"ASV_965",0.766674177813795,0.7964103336111,0.867254191370004,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__","f__Symmetrosporaceae","g__Symmetrospora","s__symmetrica","Other"
"ASV_967",4.06692077403458,0.171777312350484,0.305830979635764,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__rosarum","Other"
"ASV_978",0.398637471857602,0.893416079813539,0.932770011256322,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__","Other"
"ASV_981",3.29011584177276,0.261055035780806,0.429416616827848,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Glomerellaceae","g__Colletotrichum","s__spaethianum","Other"
"ASV_990",2.01359490125609,0.497639115546044,0.632851984475921,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Ceriporia","s__lacerata","Other"
"ASV_992",7.82462086697397,0.00849698403414981,0.0214312819528001,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Steccherinaceae","g__Ceriporiopsis","s__subrufa","Other"
"ASV_1001",2.51912119587783,0.396215210483188,0.555190449257307,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__radians","Other"
"ASV_1005",3.29872016781338,0.265877557969689,0.432356345175653,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Xylonomycetes","o__Symbiotaphrinales","f__Symbiotaphrinaceae","g__Symbiotaphrina","s__buchneri","Other"
"ASV_1006",7.62210208253511,0.0103761491191115,0.0258833609894319,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__","s__","Other"
"ASV_1007",2.66923040388483,0.259301989234454,0.428084011317972,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Botryosphaeria","s__dothidea","Other"
"ASV_1012",0.784865197794493,0.791283425804297,0.865722990502564,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__rosarum","Other"
"ASV_1015",-2.18711972000365,0.462264858728549,0.613649841703981,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Plectosphaerella","s__niemeijerarum","Other"
